uniprotkb_ac	cfg_id
Q9NPC4	gt_hum_428
Q9Y5Z6	gt_hum_429
O43825	gt_hum_430
O96024	gt_hum_431
Q9Y2C3	gt_hum_432
P15291	gt_hum_436
O60909	gt_hum_437
O60512	gt_hum_438
O60513	gt_hum_439
O43286	gt_hum_440
Q9UBX8	gt_hum_441
Q9NS00	gt_hum_447
Q16880	gt_hum_449
P16442	gt_hum_450
O75752	gt_hum_451
Q8N5D6	gt_hum_479
Q00973	gt_hum_480
Q8NHY0	gt_hum_482
Q10472	gt_hum_483
Q10471	gt_hum_484
Q14435	gt_hum_485
Q8N4A0	gt_hum_486
Q7Z7M9	gt_hum_487
Q8NCL4	gt_hum_488
Q86SF2	gt_hum_489
Q9NY28	gt_hum_490
Q9HCQ5	gt_hum_491
Q86SR1	gt_hum_492
Q86SR1	gt_hum_493
Q8NCW6	gt_hum_494
Q8IXK2	gt_hum_495
Q8IUC8	gt_hum_496
Q96FL9	gt_hum_497
Q7Z4T8	gt_hum_498
Q8N428	gt_hum_499
Q6IS24	gt_hum_500
Q8N3T1	gt_hum_501
P16442	gt_hum_502
Q9UNA3	gt_hum_532
Q09328	gt_hum_533
Q10469	gt_hum_534
P26572	gt_hum_535
Q9Y2A9	gt_hum_536
Q8N5W4	gt_hum_537
Q9BYG0	gt_hum_538
Q8TDX1	gt_hum_539
Q09327	gt_hum_540
Q02742	gt_hum_541
Q9P109	gt_hum_542
O95395	gt_hum_544
Q53S97	gt_hum_545
Q96GH4	gt_hum_546
O43505	gt_hum_547
Q06430	gt_hum_548
Q6P3S8	gt_hum_553
Q8NFL0	gt_hum_562
P19526	gt_hum_598
Q10981	gt_hum_599
P21217	gt_hum_600
P22083	gt_hum_601
Q11128	gt_hum_602
P51993	gt_hum_603
Q11130	gt_hum_604
Q9BYC5	gt_hum_605
Q9Y231	gt_hum_606
Q11201	gt_hum_622
Q16842	gt_hum_623
Q11203	gt_hum_624
Q11206	gt_hum_625
Q9UNP4	gt_hum_626
Q9Y274	gt_hum_627
P15907	gt_hum_628
Q96HE4	gt_hum_629
Q9NSC7	gt_hum_630
Q9UJ37	gt_hum_631
Q8NDV1	gt_hum_632
Q9H4F1	gt_hum_633
Q9BVH7	gt_hum_634
Q9ULB8	gt_hum_635
Q969X2	gt_hum_635
Q92185	gt_hum_636
Q92186	gt_hum_637
O43173	gt_hum_638
Q92187	gt_hum_639
O15466	gt_hum_640
P61647	gt_hum_641
